tortilla,temp,meat,fillings,salsa,uniformity,synergy,guac,cheese,fries,sourcream,rice,beans,cost,volume
3.5,4.5,4,3.5,3,4.5,3.5,none,none,none,none,none,none,9.19,0.9
3,4.5,4.5,3.5,1,3.5,4,none,none,none,none,none,none,7.85,0.55
3,5,4,3,3,4,4,none,none,none,none,none,none,6.85,0.54
2.8,3,3,2,2,4.5,1.5,none,present,present,present,none,none,7,0.9
4,4,4,3,4,5,4,none,present,present,present,none,none,7,0.79
3.5,2,3,4,3,4,3,present,present,present,present,none,none,7,0.87
3.8,1.3,3.5,3.5,3.5,4.5,4,present,present,present,none,none,none,6.25,0.86
4,4,4.5,4,4,3.5,4,present,present,present,none,none,none,6.25,0.87
3,2.5,4,4,2,2,3,present,present,present,none,none,none,6.25,0.87
5,4,5,4,4,4,4.5,present,none,none,none,none,none,5.5,0.68
4,3,4,3,3,3,4,present,present,none,present,none,none,6.25,0.97
4,5,4.5,4,3,4,4,present,present,none,present,none,none,6.25,0.72
4,3,5,4,5,4,5,present,present,none,present,none,none,6.25,0.85
4,4,3.5,4,4,4,3.5,present,present,present,none,none,none,6.25,0.76
3,2,4,5,3,4,4,present,present,present,none,none,none,6.25,0.83
4,3.5,3.5,4,3.5,4,4,present,present,present,none,none,none,6.25,0.85
3.5,2,3,3.5,2.5,2.5,3.5,present,present,present,none,none,none,6.25,0.85
4,4,4.5,5,4,5,4.5,present,present,present,none,none,none,6.25,0.79
4.5,4,4,4.5,4.5,4,4.5,present,present,none,present,none,none,6.25,0.7
4,4,2,3,3,3.5,3,none,none,none,none,none,none,7,0.77
4,2.5,2.5,3,3.5,4,3,none,none,none,none,none,none,6.25,0.65
3.5,3,2,2,3.5,3,1.5,none,none,none,none,none,none,7,0.62
3.5,3.5,2.5,2.5,2,4,1.5,none,present,present,none,none,none,6.25,0.68
4,5,3,3,4,3.5,4,none,present,present,none,none,none,6.25,0.64
4.5,4.5,3.5,4,2.5,5,4.5,none,present,present,none,none,none,4.99,0.67
3.5,4.5,3.5,3.5,2.5,1.5,3.5,none,present,present,present,none,none,6.89,0.87
3,5,4.5,4.5,4.5,4,4,present,none,none,none,none,none,6.89,0.65
3,3,3,3,2.5,2,3,none,none,none,none,none,none,4.99,0.66
2.5,4.5,2,3,3,1.5,2,none,present,present,none,none,none,5.29,0.75
4,5,4.5,3.5,3.5,2,4,present,present,present,present,none,none,7.49,0.68
3.5,5,4,3,3,4.5,3.5,present,present,present,present,none,none,7.49,0.73
2.5,4,3.5,4,1.5,3,3.5,present,none,none,none,none,present,6.5,0.69
4.5,4.5,3.5,4,4,3.5,4,present,none,none,none,none,none,6.5,0.74
2.5,3.5,3,3,3.5,4.5,2,none,none,none,none,none,none,6.25,0.65
3,4,4,3,4,4.5,4,none,none,none,none,none,none,6.25,0.64
4,4.5,2.5,2.5,3,1.5,4,none,none,none,none,none,none,5.99,0.65
4,4.5,3,3.5,2.5,3.5,4,none,none,none,none,none,none,5.69,0.77
1.5,4,3,3,2.5,4.5,3,none,none,none,none,none,none,7.99,0.54
3,2.5,3,3,3.5,3,3,none,none,none,none,present,none,8.25,0.77
5,3,5,4,5,2,2,none,none,none,none,present,none,8.25,0.87
3,2.5,2,2.8,4,3.5,3,none,none,none,none,present,none,8.25,0.77
3,3,4,3.5,3.5,2,3.5,none,present,present,none,none,none,8.25,1
3.5,2,4,3,4,5,4,none,present,present,none,none,none,8.25,0.96
3.5,2,5,3.5,3.5,2.5,3,none,present,present,none,none,none,8.25,0.96
5,4,4,4,4,3,4,none,present,present,none,none,none,8.25,0.87
4,3,3.5,3,2,4,3,none,present,present,none,none,none,8.25,1.01
3.8,4,4,4,4.5,4,4.5,none,present,present,present,present,none,7.5,0.94
3,3,5,3.5,4.5,3.5,4,none,present,present,present,none,none,7.5,0.83
3.5,3,2,3,4,2,2.5,none,present,present,present,none,none,7.5,0.72
2,3,3,3,4,3,3,none,present,present,present,none,none,7.5,0.86
3.5,4,4.5,4,4,3.5,4,none,present,present,present,none,none,7.5,0.97
4,5,5,4,5,4.5,4.5,none,present,present,present,none,none,7.5,0.94
3.5,2.5,3,4.5,5,2,4.5,present,present,present,present,none,none,7.5,0.88
3.5,5,3.5,4,4,3,2.5,none,present,present,present,none,none,7.5,0.77
2.5,2.5,3,2,5,1,1,none,present,none,present,present,none,7.5,0.6
5,3,5,5,2,2,3,none,present,none,present,present,none,7.5,0.63
5,4,2,1,5,3,4,none,present,none,present,present,none,7.5,0.67
4,4,3.5,4.5,5,4,4.5,none,present,none,present,present,none,7.5,0.56
2,2.5,3.5,2,2,2.5,2.5,none,none,none,none,none,none,4.99,0.64
4,5,3.5,3,4,3.5,2.5,none,none,none,none,none,none,6.45,0.72
3,4.5,4,4,4,3,4,none,none,none,none,none,none,6.99,0.75
4,5,4,4,3.5,4,4,none,none,none,none,none,none,7.9,0.86
4,3.5,4.5,4.5,3.5,3.5,4,none,none,none,none,none,none,7.9,0.93
3.5,3.5,3,4,4.5,3,3.5,none,none,none,none,none,none,6.95,0.74
3.5,5,4.5,3.5,4.5,4.5,4,none,none,none,none,none,none,5.95,0.65
3,5,3,3,3.5,4,3,none,none,none,none,none,none,5.49,0.68
3.5,4,3,2.5,2.5,4,2.5,none,none,none,none,none,none,3.99,0.68
3.2,3.8,4.5,2.8,1.8,2,3.5,none,none,none,none,none,none,5.99,0.59
3.5,4.5,2.5,2.5,3,1.5,2.5,present,present,present,present,none,none,7.65,1.24
4,4.5,4,4,4.5,5,4.5,none,none,none,none,none,none,6.6,0.93
3.5,3.5,2,3,3,4.5,3,present,none,none,none,none,none,5.99,0.57
4,4,4,4,4,4,4,present,present,present,none,none,none,7.9,0.77
4,4,3.5,4.5,2.5,3.5,4,present,present,present,none,none,none,7.9,0.71
3.5,3.5,2,3.5,3,3.5,3.5,none,none,none,none,none,none,6.1,0.85
3.5,4,2.5,3,2.5,2.5,2.8,none,none,none,none,none,none,6.25,0.58
3,2.5,2.5,3,2.5,3.5,3,none,present,present,present,none,none,6.5,0.68
3.5,5,3,3,2,3.5,4,none,present,present,present,none,none,5.5,0.64
3,5,3,4,2,2,4.5,none,present,present,present,none,none,5.5,0.84
3,3,3,3,3.8,3.5,3,none,none,none,none,none,none,6.99,0.6
3,4.5,3.5,1.5,3.2,2,2,none,none,none,none,none,none,6.5,0.62
3,4,4.5,3,4.5,4,3.5,none,none,none,none,none,none,5.5,0.65
4,2,4,3,3,5,3,none,none,none,none,none,none,6.95,0.93
3,3,3.5,4,3,3,4,none,none,none,none,none,none,7,0.79
4,3,4,3,3.5,2,3,present,none,none,none,none,none,5.95,0.57
2,5,4.2,3,3.7,5,4.2,none,present,present,none,none,none,6.99,0.67
2,3.5,4.2,4.3,4.5,2.2,4,none,none,none,none,none,none,7.49,0.77
3.8,3.8,4,4.2,4.75,4,4.4,none,none,none,none,none,none,7.49,0.71
3,4.5,3.7,2.8,3,4.5,2.3,none,none,none,none,none,none,5.99,0.72
2,4,4.5,4,4,3,4,none,none,none,none,none,none,5.99,0.92
4,4,4,4,4.2,4.5,4.5,none,none,none,none,none,none,6.39,0.7
2,4,3.7,2,4.5,4.5,2.7,none,none,none,none,none,none,6.39,0.85
3,4.4,4,4,4.3,4.2,4,none,none,none,none,none,none,6.39,0.75
4,4,3.5,2,2,2,3,none,none,none,none,none,none,7.35,0.86
3.5,4,4,3,3,4,3.5,none,none,none,none,none,none,6.7,0.73
2.5,4,3.75,4,4,5,4,present,present,present,present,none,none,6.25,0.51
2,2.5,3.3,3.5,2.5,4,2.5,none,none,none,none,none,none,10.5,1.16
4.5,4.7,4.5,3.5,4.5,4.5,3.5,present,none,none,none,none,none,6.75,0.66
5,5,4,5,4,3,5,none,none,none,none,none,none,7.9,0.73
3,5,5,4,3,4,5,none,none,none,none,none,none,7.9,0.77
4,4,3,4,3,4,3,none,none,none,none,none,none,7.9,0.74
3.5,5,4,3,3.5,3,3.5,none,present,present,present,none,none,6.25,0.66
4,4,5,4.5,5,3.5,4.5,present,present,present,none,none,none,7.25,0.87
4,4,3.5,4,4.5,3.5,4,none,none,none,none,none,none,7,0.75
3.5,2.5,4,3.5,2.5,2.5,4.5,none,none,none,none,none,none,6.99,0.83
3.5,4,3,4,3,4,4,none,none,none,none,none,none,6.49,0.4
2,3,3.8,2.5,2.5,3,3,present,none,none,none,none,none,5.99,0.61
4,1.5,2,3,3,4,2,none,none,none,none,none,none,5.65,0.75
4.5,5,2,2,3,3.5,2.5,none,none,none,none,none,none,5.49,0.64
3.5,2.5,3,3.3,2.2,2.3,3.3,none,none,none,none,none,none,7.75,0.7
4,4.5,2,2,2,3.5,2,none,none,none,none,none,none,7.75,0.68
4,4.5,4,3.5,1.5,5,3.5,none,none,none,none,none,none,6.6,0.77
3,4.5,4.1,3,4.3,4,4.2,none,none,none,none,none,none,8.5,0.74
3.5,4,4,3,4,4.5,3.8,none,none,none,none,none,none,7.9,0.72
2.5,4.5,3,2.5,2,3,2,none,none,none,none,none,none,4.99,0.75
3,2,3.5,3.5,3.7,2.5,3.2,none,none,none,none,none,none,7.29,0.7
4,5,4.5,4,3,3.5,4.5,none,none,none,none,none,none,7.89,0.96
4,3.5,3.9,4,3.5,2,4,none,none,none,none,none,none,7.49,1.08
4.5,5,4,3.5,4,2.8,4.5,none,none,none,none,none,none,7.9,0.94
4.2,4,4.2,3.8,3.8,3,4.5,none,none,none,none,none,none,7.9,0.89
2,4,2.5,3.5,2,3,1.5,none,none,none,none,none,none,5.99,0.65
2.5,4.5,4,4,3,3,3,none,none,none,none,none,none,6.99,0.62
4,2,3,3.8,4,2,4,none,none,none,none,none,none,7.19,0.92
3,4.5,4.3,4,3.9,3.1,4.2,none,none,none,none,none,none,7.9,0.85
3,3.5,4.5,4,4,4,4,none,none,none,none,none,none,7.9,0.96
3.5,3,3.5,3,4,4.5,4,none,none,none,none,none,none,7.35,0.6
4,3,3,3,3.5,3,2.8,none,none,none,none,none,none,6.35,0.6
4.5,3,3.5,4.5,3.5,4,4.3,none,none,none,none,none,none,6.5,0.83
4,3.5,4.5,4,4,4.5,4,none,none,none,none,none,none,6.5,0.85
4,4,4.5,4.3,4.8,4.5,4.8,none,none,none,none,none,none,4.75,0.41
4,4,4,3.5,2,3,3.5,none,none,none,none,none,none,6.75,0.99
3,3,4,4,3,4,4,none,none,none,none,none,none,6.5,0.96
4.5,5,3.8,3.8,3.9,4,4.3,none,none,none,none,none,none,7.1,0.95
3.5,4,4,3,3.5,4.5,3.5,none,none,none,none,none,none,8.25,0.92
2,4.5,4.5,3,2.5,4.4,3.5,present,none,none,none,none,none,5.99,0.64
4,4,4,3,2.5,3.5,3.5,present,none,none,none,none,none,5.99,0.59
3,4,3.2,3.5,3.5,1.8,3.7,none,none,none,none,none,none,10,1.54
3,4.5,3.5,3.5,3,2,3.5,none,none,none,none,none,none,10,1.54
3.5,4.2,3.3,3.7,2.9,4,3,none,none,none,none,none,none,7.75,0.73
4,4,2.6,3.6,3.6,4,4,none,none,none,none,none,none,7.75,0.81
3.5,3,3.5,3.5,4,2,4,none,none,none,none,present,none,8.99,0.47
3.5,5,3.3,3,3,2,3.8,none,none,none,none,none,none,6.85,0.99
4,5,4,4,2,3.5,3.5,none,none,none,none,none,none,6.85,1.03
5,4,4.2,3.5,4,3,4,none,none,none,none,none,none,7.4,0.93
4.5,4,4,3.5,2.5,3,4,none,none,none,none,none,none,7.4,1.09
3.5,5,3,1.5,3,2.5,2.2,none,none,none,none,none,none,9.95,0.77
4,4,2,2.5,3,4,2.9,present,none,none,none,none,none,7,0.72
3.5,4,4,4,2,4.5,3.5,none,none,none,none,none,none,9,0.92
3,3,2,2,3,2,2,none,present,present,present,none,none,7,0.85
3,4,4,2.5,3,3,3,none,none,none,none,none,none,6.99,0.67
3.5,4.5,3.5,3.5,4,3.5,3.5,none,none,none,none,none,none,7.19,0.81
3,3,3.5,3.5,3.8,3.5,4,none,none,none,none,none,none,6.9,0.8
3,2.5,3,3,3.5,2.8,2.8,none,none,none,none,none,none,8.55,0.84
3,2,3.5,3,3,4,3.8,none,none,none,none,none,none,7.8,0.98
2.5,3,2.5,3.5,3.7,4.5,3.3,none,none,none,none,none,none,5.56,0.68
4,4,4,3,4,2,3,none,none,none,none,none,none,5.56,0.77
1,2,2,2,1,3,2,none,none,none,none,none,none,6.47,0.89
3.2,3,3.5,3.5,3,3.3,3.8,none,none,none,none,none,none,7.35,0.72
4,4.5,3,4,3.5,2.5,3.5,none,none,none,none,none,none,8.5,0.89
4,4,3.75,4,4,3.5,5,none,none,none,none,none,none,8.5,0.77
4,4.5,3.5,3.5,3,4.5,3.5,none,none,none,none,none,none,6.75,0.68
4,5,5,5,5,5,4,none,none,none,none,none,none,7.9,1.09
3,3,4,3,4,2.5,4.5,none,none,none,none,none,none,8.35,0.88
3.8,4.4,4,3.8,4,4,4,none,none,none,none,none,none,25,0.99
4.5,5,4,4,3.8,3.7,4.6,none,none,none,none,none,none,7,0.72
4,5,3.5,3.8,3.3,2.5,4,none,none,none,none,none,none,6.99,0.7
3.5,5,4,4,3.75,4.75,4,none,none,none,none,none,none,7.1,0.81
3,3,2,2.5,2.5,2.5,3,none,none,none,none,none,none,6.47,0.72
2.5,3.5,3.5,3.5,3,4,3.5,none,none,none,none,none,none,8.94,0.83
2,2.5,4,3,3,3.5,3,none,none,none,none,none,none,5.99,0.74
3.5,4,4.5,4,3.5,4,4.5,none,none,none,none,none,none,8.5,0.79
4,4,4,4.5,4,4.5,4.5,none,none,none,none,none,none,8.5,0.88
3,4.5,3.8,3.8,3.5,3.5,4,none,none,none,none,none,none,6.85,0.91
3,4.5,4,4,4,3,4,none,none,none,none,none,none,6.85,0.89
2,2,4,3.5,3.5,4.5,4,none,none,none,none,none,none,11.5,0.75
4,3,4,4,3.5,4,4.3,none,none,none,none,none,none,7.89,0.8
5,5,5,5,5,4,5,none,none,none,none,none,none,7.89,0.74
4,4,3,3.5,3,2,3,none,none,none,none,none,none,8.5,0.92
4,5,4,3,4,3,3,present,none,none,none,none,none,7.2,1
3.5,5,4.3,3.5,3,4,3.8,present,none,none,none,none,none,5.99,0.84
4,4.5,5,4.5,4,4,4.5,present,none,none,none,none,none,5.99,0.8
2,3.5,4.5,4,3,2,4,present,none,none,none,none,none,5.99,0.91
4.5,4.5,4,4,3.5,4,4,present,present,present,present,none,none,8.99,1.05
4,4.5,3.5,3,3,3,2.5,none,none,none,none,none,present,5.99,0.63
4,4,3.5,4.2,3,4.3,4,present,present,none,none,present,present,7.5,0.69
2,5,4.5,3.5,2.5,4.5,3.5,none,none,none,none,none,none,5.99,0.67
4,4.5,3.5,4,4,3.5,4,none,none,none,none,none,none,5.99,0.63
3.8,4,4,4,4.3,3.4,4,none,none,none,none,none,none,8.5,0.76
3.5,3,3.8,4,4.5,4.5,4,none,none,none,none,none,none,9.5,0.87
3.5,1,3,3,4.5,4,3,none,none,none,none,none,none,8.5,0.72
3,2.5,3.5,3,4,1,3.5,none,none,none,none,none,none,8.5,0.52
3.5,3,3.2,3.2,3,4,2.5,none,none,none,none,none,none,6.99,0.76
2.5,3,4,3.5,3.3,2.5,3,none,none,none,none,none,none,5.99,0.68
4,4,4.5,4,4,5,4,none,none,none,none,none,none,5.99,0.85
5,5,3,3,2,4,4,none,none,none,none,none,none,9.99,0.77
5,4,4,3,4,5,4,none,none,none,none,none,none,7.39,0.84
3.5,4.5,4,3.5,3.5,1,3.5,none,none,none,none,none,none,7.39,0.85
5,5,5,4.5,5,5,5,none,none,none,none,none,none,8,0.99
4.5,5,5,3.5,4,4.5,4.9,none,none,none,none,none,none,5.5,0.8
3,4,4,3,3,4,3,none,none,none,none,none,none,6.75,0.94
4,4,4.5,4,4.5,3,4,none,none,none,none,none,none,6,0.64
4.5,3,4,4.5,4,3.5,5,none,none,none,none,none,none,7.9,0.65
4,4,4,3.7,3.5,2,4,none,none,none,none,none,none,7.9,0.77
5,2,5,5,5,2,5,none,none,none,none,none,none,7.9,1.07
3,5,4.3,4,3,3.8,4.5,none,none,none,none,none,none,5.5,0.61
